sqq,siteID,year,adults,species,country,year.f
604,GBT805,2010,0,12770,GBT,2010
604,GBT805,2011,0,12770,GBT,2011
604,GBT805,2012,0,12770,GBT,2012
604,GBT805,2017,0,12770,GBT,2017
604,GBT805,2009,0,12770,GBT,2009
604,GBT805,2014,0,12770,GBT,2014
604,GBT805,2015,1,12770,GBT,2015
604,GBT805,2013,0,12770,GBT,2013
641,GBT337,2003,2,12770,GBT,2003
641,GBT253,2012,2,12770,GBT,2012
641,GBT326,2003,9,12770,GBT,2003
641,GBT253,2016,4,12770,GBT,2016
641,GBT253,2014,0,12770,GBT,2014
641,GBT337,2001,0,12770,GBT,2001
641,GBT326,2004,15,12770,GBT,2004
641,GBT253,2015,6,12770,GBT,2015
641,GBT337,2002,0,12770,GBT,2002
641,GBT253,2017,3,12770,GBT,2017
641,GBT337,2000,1,12770,GBT,2000
641,GBT744,2007,6,12770,GBT,2007
641,GBT253,2011,11,12770,GBT,2011
641,GBT253,2010,3,12770,GBT,2010
641,GBT700,2004,0,12770,GBT,2004
641,GBT744,2005,2,12770,GBT,2005
641,GBT326,2005,20,12770,GBT,2005
641,GBT744,2008,0,12770,GBT,2008
641,GBT253,2006,0,12770,GBT,2006
641,GBT700,2002,1,12770,GBT,2002
641,GBT326,2002,10,12770,GBT,2002
641,GBT253,2009,0,12770,GBT,2009
641,GBT700,2001,0,12770,GBT,2001
641,GBT326,2001,4,12770,GBT,2001
641,GBT326,2010,9,12770,GBT,2010
641,GBT253,2001,2,12770,GBT,2001
641,GBT253,2008,4,12770,GBT,2008
641,GBT253,2013,5,12770,GBT,2013
641,GBT337,2004,0,12770,GBT,2004
641,GBT700,2003,2,12770,GBT,2003
641,GBT744,2006,2,12770,GBT,2006
641,GBT337,1999,0,12770,GBT,1999
641,GBT337,1998,2,12770,GBT,1998
641,GBT744,2004,0,12770,GBT,2004
641,GBT253,2007,0,12770,GBT,2007
641,GBT253,2000,0,12770,GBT,2000
641,GBT744,2009,0,12770,GBT,2009
641,GBT744,2010,1,12770,GBT,2010
641,GBT253,2002,0,12770,GBT,2002
641,GBT326,2008,12,12770,GBT,2008
641,GBT337,2008,3,12770,GBT,2008
641,GBT253,2019,0,12770,GBT,2019
641,GBT337,2005,1,12770,GBT,2005
641,GBT253,2005,3,12770,GBT,2005
641,GBT253,2004,1,12770,GBT,2004
641,GBT770,2019,2,12770,GBT,2019
641,GBT744,2003,0,12770,GBT,2003
641,GBT253,1999,0,12770,GBT,1999
641,GBT253,1998,0,12770,GBT,1998
641,GBT337,2006,3,12770,GBT,2006
641,GBT770,2017,4,12770,GBT,2017
641,GBT770,2010,2,12770,GBT,2010
641,GBT326,2006,10,12770,GBT,2006
641,GBT326,2000,6,12770,GBT,2000
641,GBT253,2003,1,12770,GBT,2003
641,GBT770,2008,0,12770,GBT,2008
641,GBT770,2006,0,12770,GBT,2006
641,GBT403,2007,4,12770,GBT,2007
641,GBT770,2018,2,12770,GBT,2018
641,GBT337,2007,0,12770,GBT,2007
641,GBT326,1998,5,12770,GBT,1998
641,GBT770,2009,3,12770,GBT,2009
641,GBT770,2011,2,12770,GBT,2011
641,GBT337,2009,0,12770,GBT,2009
641,GBT403,2006,0,12770,GBT,2006
641,GBT326,2013,23,12770,GBT,2013
641,GBT253,2018,0,12770,GBT,2018
641,GBT403,2004,0,12770,GBT,2004
641,GBT326,2007,13,12770,GBT,2007
641,GBT403,2008,0,12770,GBT,2008
641,GBT403,2003,3,12770,GBT,2003
641,GBT770,2013,2,12770,GBT,2013
641,GBT326,1999,7,12770,GBT,1999
641,GBT326,2009,6,12770,GBT,2009
641,GBT770,2016,1,12770,GBT,2016
641,GBT770,2015,4,12770,GBT,2015
641,GBT326,2012,26,12770,GBT,2012
641,GBT326,2014,16,12770,GBT,2014
641,GBT700,2000,0,12770,GBT,2000
641,GBT770,2012,0,12770,GBT,2012
641,GBT403,2001,0,12770,GBT,2001
641,GBT326,2011,19,12770,GBT,2011
641,GBT403,2005,1,12770,GBT,2005
641,GBT849,2015,3,12770,GBT,2015
641,GBT403,1998,2,12770,GBT,1998
641,GBT770,2007,2,12770,GBT,2007
641,GBT403,2000,2,12770,GBT,2000
641,GBT770,2014,1,12770,GBT,2014
641,GBT849,2011,6,12770,GBT,2011
641,GBT849,2014,5,12770,GBT,2014
641,GBT326,2015,14,12770,GBT,2015
641,GBT403,1999,1,12770,GBT,1999
641,GBT849,2012,8,12770,GBT,2012
641,GBT849,2013,4,12770,GBT,2013
641,GBT403,2002,1,12770,GBT,2002
679,GBT808,2015,13,12770,GBT,2015
679,GBT808,2014,9,12770,GBT,2014
679,GBT808,2011,5,12770,GBT,2011
679,GBT808,2016,7,12770,GBT,2016
679,GBT808,2012,0,12770,GBT,2012
679,GBT808,2010,4,12770,GBT,2010
679,GBT808,2013,17,12770,GBT,2013
679,GBT808,2009,5,12770,GBT,2009
713,GBT830,2011,4,12770,GBT,2011
713,GBT830,2012,1,12770,GBT,2012
713,GBT377,2005,0,12770,GBT,2005
713,GBT377,2003,0,12770,GBT,2003
713,GBT377,1999,1,12770,GBT,1999
713,GBT377,2004,1,12770,GBT,2004
713,GBT830,2014,2,12770,GBT,2014
713,GBT377,1998,0,12770,GBT,1998
713,GBT830,2010,0,12770,GBT,2010
713,GBT830,2015,1,12770,GBT,2015
713,GBT377,2001,1,12770,GBT,2001
713,GBT830,2016,2,12770,GBT,2016
713,GBT377,2002,1,12770,GBT,2002
713,GBT830,2013,2,12770,GBT,2013
714,GBT832,2016,1,12770,GBT,2016
714,GBT832,2015,2,12770,GBT,2015
714,GBT832,2017,2,12770,GBT,2017
714,GBT832,2019,0,12770,GBT,2019
714,GBT832,2014,0,12770,GBT,2014
714,GBT832,2018,0,12770,GBT,2018
714,GBT832,2013,1,12770,GBT,2013
714,GBT832,2011,2,12770,GBT,2011
714,GBT832,2012,4,12770,GBT,2012
714,GBT832,2010,4,12770,GBT,2010
715,GBT215,2006,0,12770,GBT,2006
715,GBT754,2012,4,12770,GBT,2012
715,GBT754,2015,4,12770,GBT,2015
715,GBT215,2004,6,12770,GBT,2004
715,GBT215,2005,1,12770,GBT,2005
715,GBT754,2010,0,12770,GBT,2010
715,GBT754,2011,1,12770,GBT,2011
715,GBT754,2013,3,12770,GBT,2013
715,GBT354,2017,0,12770,GBT,2017
715,GBT754,2009,0,12770,GBT,2009
715,GBT384,2000,1,12770,GBT,2000
715,GBT754,2007,0,12770,GBT,2007
715,GBT754,2014,0,12770,GBT,2014
715,GBT723,2002,2,12770,GBT,2002
715,GBT354,2016,10,12770,GBT,2016
715,GBT754,2008,0,12770,GBT,2008
715,GBT215,2000,1,12770,GBT,2000
715,GBT754,2004,0,12770,GBT,2004
715,GBT384,2002,2,12770,GBT,2002
715,GBT754,2018,1,12770,GBT,2018
715,GBT354,2013,8,12770,GBT,2013
715,GBT384,2001,1,12770,GBT,2001
715,GBT273,1998,4,12770,GBT,1998
715,GBT354,2014,17,12770,GBT,2014
715,GBT215,2003,3,12770,GBT,2003
715,GBT754,2006,0,12770,GBT,2006
715,GBT381,2001,2,12770,GBT,2001
715,GBT354,2015,28,12770,GBT,2015
715,GBT381,2003,0,12770,GBT,2003
715,GBT784,2019,20,12770,GBT,2019
715,GBT754,2005,0,12770,GBT,2005
715,GBT384,1999,2,12770,GBT,1999
715,GBT723,2001,6,12770,GBT,2001
715,GBT215,2002,6,12770,GBT,2002
715,GBT381,2002,0,12770,GBT,2002
715,GBT381,2005,0,12770,GBT,2005
715,GBT754,2017,7,12770,GBT,2017
715,GBT273,2003,7,12770,GBT,2003
715,GBT784,2008,3,12770,GBT,2008
715,GBT935,2019,6,12770,GBT,2019
715,GBT754,2016,5,12770,GBT,2016
715,GBT384,1998,1,12770,GBT,1998
715,GBT215,1999,4,12770,GBT,1999
715,GBT381,2007,4,12770,GBT,2007
715,GBT935,2018,5,12770,GBT,2018
715,GBT215,2001,3,12770,GBT,2001
715,GBT354,2012,22,12770,GBT,2012
715,GBT354,2010,15,12770,GBT,2010
715,GBT384,2003,0,12770,GBT,2003
715,GBT381,2004,2,12770,GBT,2004
715,GBT784,2009,5,12770,GBT,2009
715,GBT784,2007,17,12770,GBT,2007
715,GBT723,2004,6,12770,GBT,2004
715,GBT784,2018,10,12770,GBT,2018
715,GBT723,2003,4,12770,GBT,2003
715,GBT381,2008,2,12770,GBT,2008
715,GBT784,2013,12,12770,GBT,2013
715,GBT935,2017,2,12770,GBT,2017
715,GBT381,2006,0,12770,GBT,2006
715,GBT784,2015,22,12770,GBT,2015
715,GBT723,2005,2,12770,GBT,2005
715,GBT784,2010,11,12770,GBT,2010
715,GBT273,1999,2,12770,GBT,1999
715,GBT273,2007,7,12770,GBT,2007
715,GBT215,1998,2,12770,GBT,1998
715,GBT354,1999,15,12770,GBT,1999
715,GBT756,2008,4,12770,GBT,2008
715,GBT898,2018,10,12770,GBT,2018
715,GBT381,2000,0,12770,GBT,2000
715,GBT354,2009,18,12770,GBT,2009
715,GBT784,2011,10,12770,GBT,2011
715,GBT784,2014,8,12770,GBT,2014
715,GBT898,2017,13,12770,GBT,2017
715,GBT273,2008,14,12770,GBT,2008
715,GBT354,2003,0,12770,GBT,2003
715,GBT273,2010,11,12770,GBT,2010
715,GBT784,2017,15,12770,GBT,2017
715,GBT273,2012,14,12770,GBT,2012
715,GBT354,1998,0,12770,GBT,1998
715,GBT354,2011,22,12770,GBT,2011
715,GBT354,2004,13,12770,GBT,2004
715,GBT756,2006,1,12770,GBT,2006
715,GBT784,2012,26,12770,GBT,2012
715,GBT273,2005,7,12770,GBT,2005
715,GBT756,2007,3,12770,GBT,2007
715,GBT273,2011,17,12770,GBT,2011
715,GBT273,2006,14,12770,GBT,2006
715,GBT273,2013,7,12770,GBT,2013
715,GBT273,2004,0,12770,GBT,2004
715,GBT898,2019,17,12770,GBT,2019
715,GBT354,2007,13,12770,GBT,2007
715,GBT273,2000,2,12770,GBT,2000
715,GBT381,1998,0,12770,GBT,1998
715,GBT354,2002,0,12770,GBT,2002
715,GBT935,2016,11,12770,GBT,2016
715,GBT354,2001,21,12770,GBT,2001
715,GBT273,2009,0,12770,GBT,2009
715,GBT381,1999,0,12770,GBT,1999
715,GBT354,2005,23,12770,GBT,2005
715,GBT354,2008,24,12770,GBT,2008
715,GBT756,2005,0,12770,GBT,2005
715,GBT273,2001,9,12770,GBT,2001
715,GBT784,2016,13,12770,GBT,2016
715,GBT354,2006,10,12770,GBT,2006
715,GBT756,2004,0,12770,GBT,2004
715,GBT935,2015,6,12770,GBT,2015
715,GBT354,2000,10,12770,GBT,2000
715,GBT754,2019,0,12770,GBT,2019
715,GBT898,2015,10,12770,GBT,2015
715,GBT898,2014,10,12770,GBT,2014
715,GBT273,2002,5,12770,GBT,2002
715,GBT898,2016,14,12770,GBT,2016
716,GBT339,2000,1,12770,GBT,2000
716,GBT339,2013,0,12770,GBT,2013
716,GBT339,1999,3,12770,GBT,1999
716,GBT339,2014,2,12770,GBT,2014
716,GBT339,2003,2,12770,GBT,2003
716,GBT339,2012,7,12770,GBT,2012
716,GBT339,2004,1,12770,GBT,2004
716,GBT339,2010,0,12770,GBT,2010
716,GBT339,2002,2,12770,GBT,2002
716,GBT339,2011,2,12770,GBT,2011
716,GBT339,2006,0,12770,GBT,2006
716,GBT339,2018,5,12770,GBT,2018
716,GBT339,2007,4,12770,GBT,2007
716,GBT339,2009,0,12770,GBT,2009
716,GBT339,1998,2,12770,GBT,1998
716,GBT339,2005,1,12770,GBT,2005
716,GBT339,2008,0,12770,GBT,2008
716,GBT339,2015,0,12770,GBT,2015
716,GBT339,2016,0,12770,GBT,2016
716,GBT339,2019,5,12770,GBT,2019
716,GBT339,2017,1,12770,GBT,2017
749,GBT392,2007,2,12770,GBT,2007
749,GBT392,2005,3,12770,GBT,2005
749,GBT392,2006,4,12770,GBT,2006
749,GBT392,2003,2,12770,GBT,2003
749,GBT392,2002,5,12770,GBT,2002
749,GBT392,1998,2,12770,GBT,1998
749,GBT392,2004,7,12770,GBT,2004
749,GBT392,2000,5,12770,GBT,2000
749,GBT392,1999,4,12770,GBT,1999
749,GBT392,2001,3,12770,GBT,2001
750,GBT656,2004,5,12770,GBT,2004
750,GBT718,2010,5,12770,GBT,2010
750,GBT718,2007,14,12770,GBT,2007
750,GBT656,2003,5,12770,GBT,2003
750,GBT656,2002,3,12770,GBT,2002
750,GBT718,2004,4,12770,GBT,2004
750,GBT718,2006,12,12770,GBT,2006
750,GBT656,2001,1,12770,GBT,2001
750,GBT718,2001,0,12770,GBT,2001
750,GBT718,2017,13,12770,GBT,2017
750,GBT718,2015,19,12770,GBT,2015
750,GBT656,2005,3,12770,GBT,2005
750,GBT718,2005,15,12770,GBT,2005
750,GBT656,1999,2,12770,GBT,1999
750,GBT718,2013,13,12770,GBT,2013
750,GBT718,2009,5,12770,GBT,2009
750,GBT718,2008,11,12770,GBT,2008
750,GBT718,2000,1,12770,GBT,2000
750,GBT656,1998,6,12770,GBT,1998
750,GBT718,2012,0,12770,GBT,2012
750,GBT718,2014,16,12770,GBT,2014
750,GBT718,2016,12,12770,GBT,2016
750,GBT656,2000,1,12770,GBT,2000
752,GBT762,2005,0,12770,GBT,2005
752,GBT762,2014,5,12770,GBT,2014
752,GBT762,2013,1,12770,GBT,2013
752,GBT241,2003,2,12770,GBT,2003
752,GBT241,2001,1,12770,GBT,2001
752,GBT241,2000,0,12770,GBT,2000
752,GBT762,2006,1,12770,GBT,2006
752,GBT762,2012,1,12770,GBT,2012
752,GBT241,1999,0,12770,GBT,1999
752,GBT241,2002,1,12770,GBT,2002
752,GBT883,2016,1,12770,GBT,2016
752,GBT241,1998,0,12770,GBT,1998
752,GBT762,2008,0,12770,GBT,2008
752,GBT762,2007,0,12770,GBT,2007
752,GBT762,2010,0,12770,GBT,2010
752,GBT883,2014,5,12770,GBT,2014
752,GBT241,2006,0,12770,GBT,2006
752,GBT241,2004,3,12770,GBT,2004
752,GBT762,2011,4,12770,GBT,2011
752,GBT762,2009,1,12770,GBT,2009
752,GBT241,2007,0,12770,GBT,2007
752,GBT241,2005,0,12770,GBT,2005
752,GBT883,2017,4,12770,GBT,2017
752,GBT883,2015,7,12770,GBT,2015
752,GBT883,2018,4,12770,GBT,2018
753,GBT712,2017,7,12770,GBT,2017
753,GBT712,2009,3,12770,GBT,2009
753,GBT712,2016,12,12770,GBT,2016
753,GBT712,2014,5,12770,GBT,2014
753,GBT712,2015,7,12770,GBT,2015
753,GBT115,1999,2,12770,GBT,1999
753,GBT115,2000,1,12770,GBT,2000
753,GBT712,2001,8,12770,GBT,2001
753,GBT115,2003,4,12770,GBT,2003
753,GBT733,2019,8,12770,GBT,2019
753,GBT712,2013,2,12770,GBT,2013
753,GBT712,2007,7,12770,GBT,2007
753,GBT712,2008,5,12770,GBT,2008
753,GBT712,2010,0,12770,GBT,2010
753,GBT712,2000,10,12770,GBT,2000
753,GBT712,2012,0,12770,GBT,2012
753,GBT728,2018,4,12770,GBT,2018
753,GBT728,2019,7,12770,GBT,2019
753,GBT712,2011,0,12770,GBT,2011
753,GBT728,2017,10,12770,GBT,2017
753,GBT728,2005,13,12770,GBT,2005
753,GBT712,2002,6,12770,GBT,2002
753,GBT115,1998,1,12770,GBT,1998
753,GBT712,2005,4,12770,GBT,2005
753,GBT712,2006,5,12770,GBT,2006
753,GBT712,2018,10,12770,GBT,2018
753,GBT733,2013,9,12770,GBT,2013
753,GBT733,2014,3,12770,GBT,2014
753,GBT733,2015,9,12770,GBT,2015
753,GBT733,2016,9,12770,GBT,2016
753,GBT733,2017,8,12770,GBT,2017
753,GBT733,2018,5,12770,GBT,2018
753,GBT733,2004,3,12770,GBT,2004
753,GBT728,2004,7,12770,GBT,2004
753,GBT728,2006,13,12770,GBT,2006
753,GBT728,2007,21,12770,GBT,2007
753,GBT712,2003,7,12770,GBT,2003
753,GBT712,2004,8,12770,GBT,2004
753,GBT115,2004,5,12770,GBT,2004
753,GBT712,2019,11,12770,GBT,2019
753,GBT833,2018,15,12770,GBT,2018
753,GBT833,2019,12,12770,GBT,2019
753,GBT728,2014,13,12770,GBT,2014
753,GBT728,2015,15,12770,GBT,2015
753,GBT728,2016,14,12770,GBT,2016
753,GBT728,2003,8,12770,GBT,2003
753,GBT115,2008,8,12770,GBT,2008
753,GBT115,2010,8,12770,GBT,2010
753,GBT733,2005,8,12770,GBT,2005
753,GBT733,2006,8,12770,GBT,2006
753,GBT733,2007,5,12770,GBT,2007
753,GBT733,2011,6,12770,GBT,2011
753,GBT733,2012,6,12770,GBT,2012
753,GBT115,2005,5,12770,GBT,2005
753,GBT115,2006,7,12770,GBT,2006
753,GBT115,2007,8,12770,GBT,2007
753,GBT733,2002,4,12770,GBT,2002
753,GBT733,2003,2,12770,GBT,2003
753,GBT906,2016,3,12770,GBT,2016
753,GBT833,2010,9,12770,GBT,2010
753,GBT115,2009,2,12770,GBT,2009
753,GBT906,2018,2,12770,GBT,2018
753,GBT906,2019,7,12770,GBT,2019
753,GBT728,2011,17,12770,GBT,2011
753,GBT733,2010,7,12770,GBT,2010
753,GBT833,2016,12,12770,GBT,2016
753,GBT833,2017,20,12770,GBT,2017
753,GBT833,2014,13,12770,GBT,2014
753,GBT728,2012,28,12770,GBT,2012
753,GBT728,2013,15,12770,GBT,2013
753,GBT728,2002,8,12770,GBT,2002
753,GBT906,2015,7,12770,GBT,2015
753,GBT833,2015,21,12770,GBT,2015
753,GBT733,2008,2,12770,GBT,2008
753,GBT906,2017,6,12770,GBT,2017
753,GBT833,2012,18,12770,GBT,2012
753,GBT833,2013,5,12770,GBT,2013
753,GBT728,2010,15,12770,GBT,2010
753,GBT733,2009,5,12770,GBT,2009
753,GBT115,2011,13,12770,GBT,2011
753,GBT115,2012,11,12770,GBT,2012
753,GBT728,2008,15,12770,GBT,2008
753,GBT728,2001,9,12770,GBT,2001
753,GBT115,2013,0,12770,GBT,2013
753,GBT833,2011,14,12770,GBT,2011
753,GBT728,2009,14,12770,GBT,2009
787,GBT789,2010,9,12770,GBT,2010
787,GBT789,2011,12,12770,GBT,2011
787,GBT789,2007,8,12770,GBT,2007
787,GBT789,2012,35,12770,GBT,2012
787,GBT789,2008,5,12770,GBT,2008
787,GBT789,2009,6,12770,GBT,2009
788,GBT394,2003,5,12770,GBT,2003
788,GBT394,1999,10,12770,GBT,1999
788,GBT394,2004,6,12770,GBT,2004
788,GBT394,2002,10,12770,GBT,2002
788,GBT394,2006,3,12770,GBT,2006
788,GBT394,1998,13,12770,GBT,1998
788,GBT394,2000,7,12770,GBT,2000
789,GBT835,2018,1,12770,GBT,2018
789,GBT835,2017,2,12770,GBT,2017
789,GBT835,2015,5,12770,GBT,2015
789,GBT835,2016,6,12770,GBT,2016
789,GBT601,2006,4,12770,GBT,2006
789,GBT389,2005,0,12770,GBT,2005
789,GBT389,2012,6,12770,GBT,2012
789,GBT389,2013,2,12770,GBT,2013
789,GBT601,2005,6,12770,GBT,2005
789,GBT389,2011,0,12770,GBT,2011
789,GBT835,2014,0,12770,GBT,2014
789,GBT601,2004,1,12770,GBT,2004
789,GBT407,2008,5,12770,GBT,2008
789,GBT601,2016,4,12770,GBT,2016
789,GBT389,2016,8,12770,GBT,2016
789,GBT407,2009,2,12770,GBT,2009
789,GBT601,2000,0,12770,GBT,2000
789,GBT389,1998,0,12770,GBT,1998
789,GBT835,2013,1,12770,GBT,2013
789,GBT407,2006,0,12770,GBT,2006
789,GBT389,2010,2,12770,GBT,2010
789,GBT407,2016,4,12770,GBT,2016
789,GBT389,2014,1,12770,GBT,2014
789,GBT389,2004,0,12770,GBT,2004
789,GBT407,2015,6,12770,GBT,2015
789,GBT601,2002,0,12770,GBT,2002
789,GBT407,2004,3,12770,GBT,2004
789,GBT407,2005,4,12770,GBT,2005
789,GBT389,2009,0,12770,GBT,2009
789,GBT835,2019,9,12770,GBT,2019
789,GBT389,2017,4,12770,GBT,2017
789,GBT407,2007,2,12770,GBT,2007
789,GBT389,1999,0,12770,GBT,1999
789,GBT389,2008,0,12770,GBT,2008
789,GBT601,2015,4,12770,GBT,2015
789,GBT601,2012,3,12770,GBT,2012
789,GBT835,2012,1,12770,GBT,2012
789,GBT389,2007,2,12770,GBT,2007
789,GBT389,2002,2,12770,GBT,2002
789,GBT389,2003,2,12770,GBT,2003
789,GBT407,2014,10,12770,GBT,2014
789,GBT601,2013,1,12770,GBT,2013
789,GBT389,2006,0,12770,GBT,2006
789,GBT835,2011,2,12770,GBT,2011
789,GBT407,2002,6,12770,GBT,2002
789,GBT407,1999,4,12770,GBT,1999
789,GBT601,2011,5,12770,GBT,2011
789,GBT389,2000,1,12770,GBT,2000
789,GBT389,2015,3,12770,GBT,2015
789,GBT601,2009,0,12770,GBT,2009
789,GBT407,2011,9,12770,GBT,2011
789,GBT601,2003,1,12770,GBT,2003
789,GBT407,2003,2,12770,GBT,2003
789,GBT407,2013,3,12770,GBT,2013
789,GBT601,2007,0,12770,GBT,2007
789,GBT389,2018,2,12770,GBT,2018
789,GBT835,2010,1,12770,GBT,2010
789,GBT389,2019,0,12770,GBT,2019
789,GBT407,2001,1,12770,GBT,2001
789,GBT601,2010,1,12770,GBT,2010
789,GBT407,2012,12,12770,GBT,2012
789,GBT407,2000,7,12770,GBT,2000
789,GBT407,2010,5,12770,GBT,2010
789,GBT601,2008,1,12770,GBT,2008
790,GBT420,2013,10,12770,GBT,2013
790,GBT804,2014,1,12770,GBT,2014
790,GBT420,2014,7,12770,GBT,2014
790,GBT420,2011,16,12770,GBT,2011
790,GBT420,2012,26,12770,GBT,2012
790,GBT779,2007,5,12770,GBT,2007
790,GBT420,2010,9,12770,GBT,2010
790,GBT779,2010,4,12770,GBT,2010
790,GBT779,2011,11,12770,GBT,2011
790,GBT802,2019,7,12770,GBT,2019
790,GBT812,2017,24,12770,GBT,2017
790,GBT779,2008,8,12770,GBT,2008
790,GBT420,2009,10,12770,GBT,2009
790,GBT804,2012,3,12770,GBT,2012
790,GBT804,2011,4,12770,GBT,2011
790,GBT313,1998,5,12770,GBT,1998
790,GBT779,2009,3,12770,GBT,2009
790,GBT752,2006,7,12770,GBT,2006
790,GBT812,2019,27,12770,GBT,2019
790,GBT802,2018,4,12770,GBT,2018
790,GBT804,2008,2,12770,GBT,2008
790,GBT804,2010,0,12770,GBT,2010
790,GBT752,2008,10,12770,GBT,2008
790,GBT807,2017,25,12770,GBT,2017
790,GBT812,2014,23,12770,GBT,2014
790,GBT812,2016,22,12770,GBT,2016
790,GBT752,2004,15,12770,GBT,2004
790,GBT779,2018,8,12770,GBT,2018
790,GBT804,2013,0,12770,GBT,2013
790,GBT420,2008,10,12770,GBT,2008
790,GBT752,2005,11,12770,GBT,2005
790,GBT812,2013,24,12770,GBT,2013
790,GBT779,2019,15,12770,GBT,2019
790,GBT779,2017,5,12770,GBT,2017
790,GBT420,2007,14,12770,GBT,2007
790,GBT779,2012,8,12770,GBT,2012
790,GBT420,2006,8,12770,GBT,2006
790,GBT752,2016,14,12770,GBT,2016
790,GBT779,2013,14,12770,GBT,2013
790,GBT420,2017,13,12770,GBT,2017
790,GBT802,2015,6,12770,GBT,2015
790,GBT812,2015,31,12770,GBT,2015
790,GBT812,2018,15,12770,GBT,2018
790,GBT812,2012,25,12770,GBT,2012
790,GBT420,2005,17,12770,GBT,2005
790,GBT807,2018,14,12770,GBT,2018
790,GBT802,2017,8,12770,GBT,2017
790,GBT313,1999,15,12770,GBT,1999
790,GBT313,2000,10,12770,GBT,2000
790,GBT420,2019,24,12770,GBT,2019
790,GBT752,2015,7,12770,GBT,2015
790,GBT779,2015,14,12770,GBT,2015
790,GBT420,2015,9,12770,GBT,2015
790,GBT807,2013,24,12770,GBT,2013
790,GBT779,2016,12,12770,GBT,2016
790,GBT420,2018,15,12770,GBT,2018
790,GBT420,2004,10,12770,GBT,2004
790,GBT807,2015,38,12770,GBT,2015
790,GBT812,2009,16,12770,GBT,2009
790,GBT420,2001,8,12770,GBT,2001
790,GBT807,2016,26,12770,GBT,2016
790,GBT752,2007,7,12770,GBT,2007
790,GBT313,2003,7,12770,GBT,2003
790,GBT779,2014,9,12770,GBT,2014
790,GBT420,2016,13,12770,GBT,2016
790,GBT313,2004,19,12770,GBT,2004
790,GBT807,2009,19,12770,GBT,2009
790,GBT802,2016,11,12770,GBT,2016
790,GBT812,2011,29,12770,GBT,2011
790,GBT807,2014,24,12770,GBT,2014
790,GBT802,2013,1,12770,GBT,2013
